Site name,(Doc complete) Byets in,(Doc complete) Requests,(Fully loaded) Bytes in,(Fully loaded) Requests,(Fully loaded) Time,DOM elements,First byte,Load time,Speed Index,Start render
http//addthis.com/,3247387.0,68.0,3379367.0,78.0,8199.0,950.0,749.0,7373.0,2330.0,1800.0
http//adobe.com/,4850870.0,52.0,4898067.0,130.0,12840.0,6261.0,549.0,9562.0,10700.0,10700.0
http//amazon.com/,4146025.0,191.0,5502051.0,325.0,13260.0,2801.0,531.0,7940.0,3952.0,1300.0
http//apple.com/,1120988.0,48.0,1143686.0,49.0,2853.0,536.0,467.0,2769.0,1869.0,1300.0
http//baidu.com/,221422.0,18.0,231182.0,23.0,4692.0,137.0,555.0,4145.0,1802.0,1700.0
http//bbc.co.uk/,2924794.0,156.0,3231422.0,306.0,24554.0,1361.0,1114.0,8738.0,4773.0,2100.0
http//bit.ly/,713762.0,20.0,715904.0,22.0,2773.0,472.0,501.0,2488.0,2268.0,2100.0
http//blogger.com/,1383858.0,61.0,1389638.0,66.0,3444.0,292.0,535.0,3176.0,4458.0,1100.0
http//blogspot.com/,1383837.0,61.0,1389617.0,66.0,3513.0,292.0,629.0,3254.0,4455.0,1200.0
http//buydomains.com/,2316303.0,78.0,2331780.0,83.0,7362.0,820.0,1010.0,6396.0,4458.0,4300.0
http//cnn.com/,3378875.0,240.0,3962350.0,341.0,15216.0,1860.0,370.0,8453.0,5117.0,4300.0
http//europa.eu/,147695.0,24.0,148913.0,26.0,2959.0,232.0,397.0,2801.0,1525.0,1500.0
http//facebook.com/,1015118.0,52.0,1221431.0,68.0,4375.0,590.0,407.0,3253.0,1603.0,1600.0
http//flickr.com/,10400943.0,61.0,10430039.0,71.0,22931.0,498.0,672.0,19576.0,8728.0,800.0
http//github.com/,3034402.0,54.0,3044705.0,58.0,6335.0,588.0,372.0,5729.0,1826.0,1800.0
http//godaddy.com/,294018.0,18.0,2134748.0,165.0,7854.0,2199.0,1015.0,1957.0,2675.0,1800.0
http//goo.gl/,452586.0,24.0,454179.0,25.0,1694.0,293.0,402.0,1655.0,1129.0,1100.0
http//google.co.jp/,385358.0,14.0,404392.0,19.0,3418.0,382.0,483.0,1567.0,757.0,700.0
http//google.com/,385084.0,14.0,404116.0,19.0,3363.0,378.0,440.0,1492.0,771.0,700.0
http//google.de/,385362.0,14.0,404403.0,19.0,3437.0,382.0,517.0,1576.0,803.0,800.0
http//instagram.com/,836527.0,20.0,875625.0,25.0,3830.0,399.0,546.0,2671.0,2704.0,2300.0
http//jimdo.com/,945985.0,63.0,947407.0,69.0,3982.0,442.0,298.0,3433.0,1766.0,1400.0
http//linkedin.com/,120072.0,15.0,304377.0,37.0,2309.0,376.0,458.0,1371.0,1334.0,1100.0
http//microsoft.com/,549906.0,23.0,1101225.0,197.0,9327.0,666.0,1216.0,2435.0,2962.0,2200.0
http//mozilla.org/,608659.0,38.0,609950.0,39.0,2645.0,1283.0,1011.0,2581.0,1761.0,1600.0
http//myspace.com/,10423889.0,235.0,10458069.0,242.0,22087.0,3011.0,428.0,21498.0,4910.0,1800.0
http//nih.gov/,727141.0,63.0,728806.0,64.0,2598.0,821.0,452.0,2543.0,2045.0,1900.0
http//nytimes.com/,2853885.0,165.0,5864763.0,270.0,16085.0,1944.0,282.0,10491.0,6828.0,900.0
http//pinterest.com/,1914560.0,96.0,2901385.0,116.0,9647.0,1150.0,612.0,6327.0,4022.0,3800.0
http//qq.com/,3540825.0,196.0,3546932.0,197.0,43134.0,2244.0,1163.0,43065.0,6553.0,2300.0
http//reddit.com/,9740048.0,168.0,14208119.0,314.0,42198.0,2873.0,1359.0,27652.0,10769.0,1900.0
http//soundcloud.com/,1590498.0,109.0,1596983.0,113.0,6205.0,554.0,459.0,5697.0,5566.0,1700.0
http//statcounter.com/,631689.0,48.0,633345.0,49.0,1895.0,466.0,399.0,1842.0,1472.0,1400.0
http//t.co/,2999.0,5.0,3776.0,6.0,724.0,25.0,472.0,577.0,600.0,600.0
http//theguardian.com/,1929492.0,162.0,2215562.0,258.0,10384.0,2829.0,446.0,5672.0,3019.0,900.0
http//tumblr.com/,5718509.0,81.0,6495806.0,118.0,15650.0,677.0,352.0,10477.0,3845.0,2700.0
http//twitter.com/,667450.0,19.0,668455.0,21.0,2752.0,666.0,416.0,2562.0,1210.0,1200.0
http//vimeo.com/,13786583.0,369.0,17350231.0,408.0,31901.0,1658.0,237.0,23954.0,9067.0,3000.0
http//vk.com/,1449794.0,49.0,1564024.0,53.0,5543.0,305.0,879.0,5049.0,3770.0,3700.0
http//w3.org/,527020.0,38.0,533901.0,39.0,1485.0,652.0,433.0,1412.0,1115.0,1100.0
